route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
5198_117967,216,5198_24878,Southern Cross,12863,0,5198_7778195_1912001,5198_535
5198_117967,218,5198_24879,Southern Cross,723,0,5198_7778195_1912011,5198_536
5198_117900,217,5198_2488,Talbot Street,20357,1,5198_7778195_6130004,5198_53
5198_117967,217,5198_24880,Southern Cross,20952,0,5198_7778195_1912001,5198_535
5198_117967,219,5198_24881,Southern Cross,7058,0,5198_7778195_1912007,5198_537
5198_117967,219,5198_24882,Southern Cross,7153,0,5198_7778195_1912005,5198_535
5198_117967,218,5198_24883,Southern Cross,620,0,5198_7778195_1912007,5198_536
5198_117967,216,5198_24884,Southern Cross,12959,0,5198_7778195_1912015,5198_537
5198_117967,217,5198_24885,Southern Cross,21048,0,5198_7778195_1912015,5198_537
5198_117967,218,5198_24886,Southern Cross,609,0,5198_7778195_1912001,5198_535
5198_117967,216,5198_24887,Southern Cross,12970,0,5198_7778195_1912017,5198_536
5198_117967,217,5198_24888,Southern Cross,21059,0,5198_7778195_1912017,5198_536
5198_117967,219,5198_24889,Southern Cross,7101,0,5198_7778195_1912002,5198_537
5198_117900,219,5198_2489,Talbot Street,7502,1,5198_7778195_6130001,5198_54
5198_117967,219,5198_24890,Southern Cross,7167,0,5198_7778195_1912006,5198_535
5198_117967,217,5198_24891,Southern Cross,21068,0,5198_7778195_1912021,5198_536
5198_117967,218,5198_24892,Southern Cross,718,0,5198_7778195_1912005,5198_537
5198_117967,216,5198_24893,Southern Cross,12979,0,5198_7778195_1912021,5198_536
5198_117967,216,5198_24894,Southern Cross,12865,0,5198_7778195_1912001,5198_535
5198_117967,218,5198_24895,Southern Cross,725,0,5198_7778195_1912011,5198_536
5198_117967,217,5198_24896,Southern Cross,20954,0,5198_7778195_1912001,5198_535
5198_117967,219,5198_24897,Southern Cross,7060,0,5198_7778195_1912007,5198_537
5198_117967,219,5198_24898,Southern Cross,7155,0,5198_7778195_1912005,5198_535
5198_117967,218,5198_24899,Southern Cross,622,0,5198_7778195_1912007,5198_536
